variant,write_ratio,ops,throughput_ops_sec,Nw,Nclf,Nmf
baseline,0.9,100000,422681,379972,189986,94993
logging,0.9,100000,417836,759944,379972,189986
wbtree,0.9,100000,395139,189986,94993,94993
baseline,0.5,100000,1.16402e+06,219184,109592,54796
logging,0.5,100000,1.16483e+06,438368,219184,109592
wbtree,0.5,100000,1.1624e+06,109592,54796,54796
baseline,0.1,100000,1.35393e+07,60012,30006,15003
logging,0.1,100000,1.35129e+07,120024,60012,30006
wbtree,0.1,100000,1.34725e+07,30006,15003,15003
baseline,0,100000,4.95249e+07,20000,10000,5000
logging,0,100000,4.96563e+07,40000,20000,10000
wbtree,0,100000,4.82997e+07,10000,5000,5000
